ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
770,Working with Families,"The objective of the course is to equip learners with the skills and knowledge to understand the purpose of working with family, relationship patterns, its history and impact on current relationships; and further make use of Genogram as a graphical representation of family relationships to understand family structure to better support the older person in need.",Tsao Foundation,430,129,Part Time,1-2 days,8,,,,2023
771,Working with Teams,"The objective of the course is to equip learners with the skills and knowledge to understand the purpose of working with Teams, its principles, and the key characteristics of an effective team. In addition, learn how to relate effective communication with the participation of clients and families to maximize process and outcome. Not to be missed to understand how interprofessional education, health informatics, and technology can contribute towards a positive meaningful work culture.

This course is administered by Hua Mei Training Academy, an initiative of Tsao Foundation",Tsao Foundation,430,129,Part Time,1-2 days,8,,,,2023
772,Life Review Skills,"The objective of the course is to equip learners with the skills and knowledge of how people recount and re-evaluate their personal life history and in so doing reframe their present difficulties in a way that enables them to make therapeutic changes to their thoughts, feelings or behavior, so as to raise client’s self-esteem to adapt to life changes",Tsao Foundation,800,240,Part Time,3-5 days,15,,,,2023
773,(SCTP) Higher Certificate in Community Healthcare,"The learning objective of the (SCTP) Non-WSQ Higher Certificate in Community Healthcare is to train individuals who have no prior experience in the sector but are interested to join the Social Service sector, particularly but not limited to, the Community Care spaces like Senior Activity Centres / Active Aging Centres / Active Aging Care Hubs, to work with volunteers &amp; clients with professionalism.

With the practical phase, it consolidates the learning and translates to practice in targeted and specific areas which will be relevant and current to the learners’ job tasks and responsibilities.

Full Qualification consists of four core modules, three elective modules and attachment.

This course is administered by Hua Mei Training Academy, an initiative of Tsao Foundation",Tsao Foundation,6810,2043,Full Time and Part Time,1-3 months,172,,,,2023
774,CoC in Conducting Health Education for the Incontinent Client,This course aims to equip nurses with the knowledge and skills to conduct a health teaching for clients with incontinence.,Institute Of Technical Education,260,78,Part time,1-2 days,7,31,26,4.3,2023
775,CoC in Performing Diabetic Foot Screening and Education on Diabetic Foot Care,This course aims to equip nurses with the knowledge and skills to perform diabetic foot screening and conduct health teaching on diabetic foot care.,Institute Of Technical Education,260,78,Part time,1-2 days,7,38,14,4.4,2023
776,Peripheral Intra-Venous Cannulation Course,Equips learners with the proper skillsets to be competent cannulation practitioners.,Ml'Ve Health Care Academy,2300,0,Part Time,6 days - 1 month,60,7,2,4,2023
777,Post-Diploma Certificate in Practice of Nephro-Urology Nursing 2 (part of Advanced Diploma in Nursing (Nephro-Urology)),"Post-Diploma Certificate in Practice of Nephro-Urology Nursing 2 (PDC4 of Advanced Diploma in Nursing (Nephro-Urology)) aims to prepare the learners on the following:

1.  utilise the skills in assessment, planning and delivery of nursing care, problem-solving approach, develop critical thinking in the management of client who require acute dialysis treatment and community health care.   
2.  develop deeper understanding to the various types of nephro-urological disorders.",Nanyang Polytechnic,7296,0,Part Time,1-3 months,320,54,26,4.5,2023
778,Management of Temporomandibular Disorders,"Oral Healthcare Professionals play an essential role in the prevention, diagnosis, and management of Temporomandibular Disorders (TMD). The comprehensive management of the patient, utilizing the best evidence-based assessment and procedures will be presented. The course will allow them to provide an accurate diagnosis, recognize the more complex Temporomandibular Disorders (TMD) pain conditions, and initiate referrals to appropriate experts in managing such patients.

Hands-on practical assessment of the stomatognathic system will further their clinical skills in the management of patients in their daily clinical practice. The different treatment modalities, including interdisciplinary modalities will be discussed. The program adopts a biopsychosocial model for the diagnosis and management of Temporomandibular Disorders (TMD).",National University Of Singapore,1200,360,Full Time,1-2 days,8,17,17,4.6,2023
779,Health and MedTech Project Management Plus (Classroom and Asynchronous e-Learning),"By the end of this module, participants should be able to:

•	Formulate medical device development Work Breakdown Structure (WBS) and schedule 
•	Analyze, pre-empt and manage project risks 
•	Develop a detailed and effective resource allocation plan for all health &amp; medtech project activities and implement within agreed cost, timescale and resources 
•	Communicate effectively amongst multi-disciplinary internal and external stakeholders on a regular basis",National University Of Singapore,1200,360,Part Time,1-2 days,8,33,8,4.6,2023
780,Modular Certificate in Haematology and Immuno-haematology (HIH),"""The Diploma in Applied Science (Medical Laboratory Science) is a multi-campus experience where it combines the strengths of five polytechnics’ curricula and aims to equip participants with the knowledge and technical skills to support the needs of the biomedical science industry, particularly in medical laboratory science.  This course is relevant for individuals who are keen to pursue a career in diagnostic clinical laboratories or other related fields in biomedical research and technology.

Info: This programme is offered in collaboration with other institutions. Please refer to the respective institution's webpages for updated PDC fees:
Modular Certificate in Diagnostic Clinical Chemistry (Nanyang Polytechnic)
Modular Certificate in Medical Microbiology (Temasek Polytechnic)
Modular Certificate in Molecular Diagnostics (Ngee Ann Polytechnic)
Modular Certificate in Haematology and Immuno-haematology (Singapore Polytechnic)""",Republic Polytechnic,5094,0,Part Time,1-3 months,180,29,4,3.8,2023
781,Modular Certificate in Haematology and Immuno-haematology,"This MC consists of the following modules:
Immunology
Blood Banking
Haematology (renamed)",Republic Polytechnic,5094,0,Part Time,1-3 months,180,66,38,4.2,2023
782,Nervous System Series (Central Nervous System) [For registered TCM practitioners only],"[TCM practitioners should confirm with the training provider to ensure that the course is accredited CPE points by TCMPB before signing up.]
This course will describe the anatomy, physiology and pathology of the central nervous system so as to equip TCMPs with the necessary knowledge to complement TCM diagnosis and treatment.",SCTCM,99,0,Part Time,1-2 days,9,3,1,5,2023
783,Upper Limb Plain Film Radiography for Occupational Therapists,"At the end of the course, learners will be able to:
1.	List the indications and contraindications for plain film radiography for upper limb musculoskeletal system 
2.	Recognise normal and some common pathological/degenerative changes in plain film radiography for upper limb musculoskeletal system 
3.	List the differences in plain film radiography findings between the paediatric and adult population
4.	Systematically evaluate plain film radiography and reports for upper limb musculoskeletal system 
5.	Differentiate and interpret normal and pathological findings in plain film radiography and correlate the findings with clinical examination/observation
6.	Integrate plain film radiography findings into safe and effective clinical practice.",Singapore Institute Of Technology,2000,600,Part Time,3-5 days,16,12,5,4.8,2023
784,Personal Wellbeing and Resilience in the Workplace Module 2: Psychological First Aid Training for Peer Support,"At the end of the 2-day module, participants will be able to:
•	Recognise and approach persons in distress with confidence 
•	Apply Psychological First Aid (PFA) concepts and communication skills to offer practical help 
•	Set mindful boundaries and access support early 
•	Strengthen employee relations and engagement",Singapore Management University,1600,480,Part Time,3-5 days,17,45,48,4.3,2023
